ticker,date,price,log_return,simple_return
AAPL,2022-01-03,178.120007390059,,
AAPL,2022-01-04,175.859377660533,-0.012772836832803058,-0.012691610351079265
AAPL,2022-01-05,171.181537787314,-0.02696006724479627,-0.02659988870339792
AAPL,2022-01-06,168.323945228779,-0.016834249731267015,-0.016693345529384392
AAPL,2022-01-07,168.490311918831,0.0009878839749299928,0.000988372093025045
AAPL,2022-01-10,168.509884470602,0.00011615750971483152,0.00011616425625964094
AAPL,2022-01-11,171.338118201481,0.01664449402460022,0.016783785353389175
AAPL,2022-01-12,171.778500616323,0.002566956145556354,0.0025702535983506847
AAPL,2022-01-13,168.509884470602,-0.019211450170156574,-0.019028086366998993
AAPL,2022-01-14,169.371076748516,0.005097618638809642,0.005110633602411867
AAPL,2022-01-18,166.170964533992,-0.019074863059661773,-0.018894089096898006
AAPL,2022-01-19,162.677264042907,-0.021248902329874753,-0.021024734982327833
AAPL,2022-01-20,160.994024590619,-0.010401012916040564,-0.010347109426699252
AAPL,2022-01-21,158.938906654686,-0.01284735644481838,-0.012765181447937713
AAPL,2022-01-24,158.16579085974,-0.00487610138120953,-0.004864232497997999
AAPL,2022-01-25,156.365116096828,-0.011450031751402356,-0.011384729612668558
AAPL,2022-01-26,156.277039613859,-0.0005634332011226206,-0.0005632745024437554
AAPL,2022-01-27,155.817084647245,-0.0029475421923468303,-0.0029432024547590826
AAPL,2022-01-28,166.689637155918,0.06745083821205444,0.06977766612234744
AAPL,2022-01-31,171.044529924919,0.025790308326915756,0.02612575588563746
AAPL,2022-02-01,170.878163234867,-0.0009731246653634784,-0.0009726513331062324
AAPL,2022-02-02,172.08187516877,0.007019575121272048,0.007044270087621095
AAPL,2022-02-03,169.204710058465,-0.0168610979660615,-0.016719745222924978
AAPL,2022-02-04,168.920908057788,-0.0016786782906494935,-0.001677270098326008
AAPL,2022-02-07,168.205598220314,-0.004243575616812656,-0.00423458437264211
AAPL,2022-02-08,171.311806692634,0.018298296919486035,0.018466736572296125
AAPL,2022-02-09,172.732627602685,0.00825956676422468,0.008293771091914377
AAPL,2022-02-10,168.656341405572,-0.023881732003384393,-0.023598820058994132
AAPL,2022-02-11,165.246371221448,-0.020425642617402318,-0.02021845224262258
AAPL,2022-02-14,165.481541578974,0.0014221381870695993,0.0014231499051247686
AAPL,2022-02-15,169.312858653664,0.0228885807849597,0.023152534343907735
AAPL,2022-02-16,169.077688296139,-0.0013899347810131246,-0.0013889692690502787
AAPL,2022-02-17,165.481541578974,-0.021498646003946575,-0.021269197334105726
AAPL,2022-02-18,163.933336725262,-0.009399795547291312,-0.009355755566086182
AAPL,2022-02-22,161.013304785984,-0.01797286181252744,-0.017812313209800177
AAPL,2022-02-23,156.848829704798,-0.026204526621643964,-0.025864167478093465
AAPL,2022-02-24,159.465099932272,0.016542615709903785,0.01668020241144322
AAPL,2022-02-25,161.53263932552,0.01288213424923157,0.012965466388106918
AAPL,2022-02-28,161.797205977736,0.001636512775455401,0.0016378525932636105
AAPL,2022-03-01,159.91584311753,-0.011696039763190669,-0.0116279069767429
AAPL,2022-03-02,163.208228122891,0.020379162336652712,0.020588235294118278
AAPL,2022-03-03,162.884868881293,-0.0019832333192910667,-0.0019812680115277805
AAPL,2022-03-04,159.886446822839,-0.01857976944439077,-0.0184082295614529
AAPL,2022-03-07,156.094324807736,-0.0240033851869752,-0.023717595146165348
AAPL,2022-03-08,154.271754536911,-0.011744783612060772,-0.01167608286252487
AAPL,2022-03-09,159.670873995107,0.034398971979627824,0.03499745934959342
AAPL,2022-03-10,155.330021145777,-0.02756263696133665,-0.02718625345197906
AAPL,2022-03-11,151.61628924985,-0.02419910582064677,-0.023908655059292534
AAPL,2022-03-14,147.588996877221,-0.0269215538283758,-0.026562399017643745
AAPL,2022-03-15,151.969044786138,0.029245484898151375,0.029677333687420787
AAPL,2022-03-16,156.378488989747,0.028602432839737624,0.02901541040686481
AAPL,2022-03-17,157.387761774128,0.006433300349217852,0.006454038473585428
AAPL,2022-03-18,160.680146779489,0.020703142407716868,0.020918939110945712
AAPL,2022-03-21,162.051973865056,0.008501387125988025,0.008537626539821574
AAPL,2022-03-22,165.422748989592,0.020587202261552306,0.02080058048131474
AAPL,2022-03-23,166.784777310262,0.008199910264306887,0.008233621608813234
AAPL,2022-03-24,170.567100560469,0.02242454834474028,0.022677868515367593
AAPL,2022-03-25,171.204020278768,0.003727175391922799,0.003734129947722405
AAPL,2022-03-28,172.066311589695,0.005023988644470734,0.005036630036624959
AAPL,2022-03-29,175.358696595056,0.018953635980858863,0.019134396355353526
AAPL,2022-03-30,174.192643572324,-0.006671737247280873,-0.006649530621367976
AAPL,2022-03-31,171.096233864902,-0.01793566440055283,-0.01777577769026958
AAPL,2022-04-01,170.802270917994,-0.0017195923072668151,-0.0017181146555224338
